Date of Polling,Polling Firm,PC,Wildrose,Liberal,NDP,Alberta,Other,
"April 22, 2012",Forum Research,36,38,10,12,3,1,
"April 21, 2012",Forum Research,32,41,10,13,2,2,
"April 20–21, 2012",Angus Reid,32,41,13,11,,2,
"April 19, 2012",Campaign Research,34,41,11,11,,3,
"April 18–19, 2012",Abacus Data,31,41,12,13,,3,
"April 17–18, 2012",ThinkHQ Public Affairs,33,41,11,11,3,1,
"April 16, 2012",Forum Research,33,40,10,12,2,2,
"April 13–16, 2012",Leger Marketing,36,42,9,10,2,1,
"April 13–14, 2012",Return on Insight,36,43,11,9,1,0,
"April 11, 2012",Campaign Research,34.4,42.8,9.6,9.7,,3.5,
"April 9–11, 2012",Abacus Data,29,46,10,12,,2,
"April 9–10, 2012",Think HQ Public Affairs,29,43,12,13,2,1,
"April 9, 2012",Forum Research,31,43,10,11,2,2,
"April 5–8, 2012",Leger Marketing,34.2,35.5,12.5,13.2,2.7,1.9,
"April 2–4, 2012",Abacus Data,31,43,12,11,,3,
"April 2–4, 2012",Leger Marketing,33.9,41.3,9.5,11.7,2.2,1.4,
"April 3, 2012",Campaign Research,28.4,45.5,11.3,10.2,,4.6,
"April 3, 2012",Forum Research,29,43,13,10,3,3,
"April 2–3, 2012",Think HQ Public Affairs,30,43,11,12,3,1,
"March 26–28, 2012",Abacus Data,28,41,16,12,,3,
"March 26, 2012",Campaign Research,30.3,39.6,13.0,11.6,,5.5,
"March 26, 2012",Forum Research,31,41,12,11,2,3,
[1],Leger Marketing,37,34,12,11,2,6,
"March 22–25, 2012",Think HQ Public Affairs,36,33,13,13,2,3,
"March 20–25, 2012",Ipsos-Reid,38,38,11,12,,2,
"March 5–7, 2012",Abacus Data,34,29,18,14,,5,
February 2012,Think HQ Public Affairs,42,29,12,13,2,2,
"February 10, 2012",Forum Research,37,30,14,13,,6,
"Jan 30 – Feb 2, 2012",Abingdon Research,37.9,29.4,13.7,14.4,,4.5,
"January 25–31, 2012",Return on Insight,46,24,12,14,4,0,
"January 17, 2012",Forum Research,38,29,14,13,3,4,
"January 13–18, 2012",Leger Marketing,53,16,11,13,2,6,
