Source,Date,Link,Conservative,Liberal,NDP,Bloc QC,Green
Asking Canadians[1],"October 13, 2008",HTML,38.0,22.6,22.6,9.5,7.1
EKOS Research Associates,"October 13, 2008",HTML,34.8,26.4,19.4,9.8,9.6
Angus Reid Strategies,"October 13, 2008",PDF,37,27,20,9,7
Nanos Research,"October 12, 2008",PDF,34.2,26.7,21.4,9.5,8.2
EKOS Research Associates,"October 12, 2008",HTML,34,26,18,10,11
Harris-Decima,"October 12, 2008",PDF,34,25,19,11,9
Strategic Counsel,"October 11, 2008",HTML,33,28,18,10,11
Nanos Research,"October 11, 2008",PDF,33,27,22,10,9
Harris-Decima,"October 11, 2008",PDF,35,26,18,10,9
EKOS Research Associates,"October 11, 2008",HTML,34,27,18,10,11
Strategic Counsel,"October 10, 2008",HTML,35,28,19,9,9
Harris-Decima,"October 10, 2008",PDF,35,25,18,9,11
Nanos Research,"October 10, 2008",PDF,32,28,22,10,8
Angus Reid Strategies,"October 10, 2008",PDF,38,28,19,9,6
EKOS Research Associates,"October 10, 2008",HTML,34,26,19,10,11
Ipsos Reid,"October 9, 2008",HTML,34,29,18,9,8
Segma,"October 9, 2008",PDF,35,23,21,10,10
Nanos Research,"October 9, 2008",PDF,33,27,22,10,8
Harris-Decima,"October 9, 2008",PDF,34,26,18,9,12
EKOS Research Associates,"October 9, 2008",HTML,36,24,19,10,11
Nanos Research,"October 8, 2008",PDF,33,29,20,10,7
Harris-Decima,"October 8, 2008",PDF,32,27,19,8,12
EKOS Research Associates,"October 8, 2008",HTML,35,24,20,10,11
Nanos Research,"October 7, 2008",PDF,33,29,20,11,7
Angus Reid Strategies,"October 7, 2008",PDF,35,27,18,9,10
Harris-Decima,"October 7, 2008",PDF,31,27,20,8,12
EKOS Research Associates,"October 7, 2008",HTML,34,25,20,10,11
Harris-Decima,"October 6, 2008",PDF,31,26,21,8,13
Nanos Research,"October 6, 2008",PDF,34,31,18,11,6
EKOS Research Associates,"October 6, 2008",HTML,33,26,19,10,12
Harris-Decima,"October 5, 2008",PDF,32,25,21,8,12
Nanos Research,"October 5, 2008",PDF,34,29,20,11,6
EKOS Research Associates,"October 5, 2008",HTML,35,25,19,10,10
Harris-Decima,"October 4, 2008",PDF,34,24,20,8,13
Nanos Research,"October 4, 2008",PDF,34,30,19,10,7
EKOS Research Associates,"October 4, 2008",HTML,36,25,18,10,10
Angus Reid Strategies,"October 3, 2008",PDF,40,25,19,11,6
Harris-Decima,"October 3, 2008",PDF,35,22,20,9,13
