,Bloc QC,Campaign,Conservative,Date,Error,Green,Liberal,Link,Margin,NDP,Other,Sample,Source,Type
297,9,,33,2006-02-09,,7,34,PDF,,18,,,SES Research,
296,8,,35,2006-02-13,,-,25,PDF,,24,,,Decima Research,
295,8,,39,2006-02-21,,-,28,HTML,,19,,,Strategic Counsel,
294,8,,39,2006-02-23,,5,27,HTML,,20,,,Ipsos-Reid,
293,10,,35,2006-02-27,,-,28,HTML,,21,,,Decima Research,
292,10,,37,2006-03-13,,-,28,HTML,,19,,,Decima Research,
291,9,,38,2006-03-23,,5,28,HTML,,19,,,Ipsos-Reid,
290,11,,39,2006-03-26,,-,28,HTML,,19,,,Decima Research,
289,10,,41,2006-03-31,,5,22,HTML,,21,,,Environics,
288,11,,39,2006-04-09,,5,29,HTML,,14,,,Strategic Counsel,
287,10,,41,2006-04-23,,-,26,HTML,,19,,,Decima Research,
286,10,,35,2006-05-03,,9,31,HTML,,16,,,Strategic Counsel,
285,9,,38,2006-05-09,,6,28,PDF,,19,,,SES Research,
284,9,,43,2006-05-18,,5,25,HTML,,15,,,Ipsos-Reid,
283,8,,38,2006-05-28,,-,29,PDF,,21,,,Decima Research,
282,9,,36,2006-06-08,,9,27,PDF,,19,,,Strategic Counsel,
281,10,,38,2006-06-18,,-,28,HTML,,19,,,Decima Research,
280,9,,39,2006-06-23,,4,25,HTML,,21,,,Environics,
279,11,,37,2006-07-16,,8,26,HTML,,18,,,Strategic Counsel,
278,10,,36,2006-07-16,,8,29,PDF,,16,,,"Decima Research
(with Greens)",
277,11,,36,2006-07-16,,-,30,PDF,,19,,,"Decima Research
(without Greens)",
276,-,,36,2006-07-23,,-,30,HTML[permanent dead link],,17,,,Decima Research,
275,10,,39,2006-07-27,,7,27,HTML,,17,,,Ipsos-Reid,
274,11,,38,2006-07-30,,8,29,HTML,,15,,,Strategic Counsel,
273,11,,32,2006-07-31,,8,31,PDF,,16,,,Decima Research,
272,10,,36,2006-08-13,,7,29,PDF,,15,,,Decima Research,
271,11,,36,2006-08-23,,5,30,PDF,,18,,,SES Research,
270,10,,38,2006-08-24,,5,29,,,17,,,Ipsos-Reid,
269,10,,33,2006-08-28,,8,28,PDF,,19,,,Decima Research,
268,11,,34,2006-09-04,,10,30,,,14,,,Decima Research,
267,8.4,,38.7,2006-09-14,,7,28.8,PDF,,17,,,EKOS,
266,12,,35,2006-09-17,,8,26,HTML,,19,,,Strategic Counsel,
265,9,,37,2006-10-12,,7,28,,,18,,,Environics,
264,9.9,,36,2006-10-12,,6.2,31.7,HTML,,16.2,,,EKOS,
263,11,,32,2006-10-15,,9,32,HTML[permanent dead link],,17,,,Strategic Counsel,
262,11,,32,2006-10-16,,10,30,HTML[permanent dead link],,15,,,Decima Research,
261,9,,37,2006-11-02,,5,29,HTML,,19,,,Ipsos-Reid,
260,10,,31,2006-11-05,,9,28,HTML,,18,,,Decima Research,
259,9,,33,2006-11-06,,5,32,HTML,,19,,,Environics,
258,13,,34,2006-11-09,,5,32,PDF,,16,,,SES Research,
257,10,,31,2006-11-13,,10,33,HTML,,15,,,Decima Research,
256,10,,34,2006-11-26,,6,32,HTML,,15,,,Léger Marketing,
254,10,,31,2006-12-03,,11,35,PDF,,12,,,Decima Research,
255,11,,31,2006-12-03,,7,37,HTML,,14,,,Strategic Counsel,
253,11,,32,2006-12-07,,5,38,HTML,,13,,,Ipsos-Reid,
252,9,,33,2006-12-09,,8,40,HTML,,10,,,EKOS,
251,11,,32,2006-12-13,,7,35,HTML,,12,,,Decima Research,
250,10,,34,2006-12-14,,5,36,HTML,,13,,,Ipsos-Reid,
249,10,,34,2006-12-30,,8,31,HTML,,15,,,Decima Research,
248,8,,34,2006-12-30,,11,32,HTML,,14,,,Environics,
247,11,,31,2007-01-14,,8,35,HTML,,15,,,Strategic Counsel,
246,10,,32,2007-01-15,,9,33,HTML,,13,,,Decima Research,
245,-,,33,2007-01-18,,-,37,HTML,,13,,,Ipsos-Reid,
244,8,,35,2007-01-21,,9,32,HTML,,13,,,Léger Marketing,
243,13,,32,2007-01-22,,9,33,HTML,,13,,,Decima Research,
242,8,,38,2007-02-04,,7,31,PDF,,14,,,Léger Marketing,
241,10,,33,2007-02-08,,7,33,PDF,,17,,,SES Research,
240,9,,32,2007-02-12,,8,33,HTML,,15,,,Decima Research,
238,9,,32,2007-02-18,,11,30,HTML,,15,,,Decima Research,
239,11,,34,2007-02-18,,12,29,HTML,,14,,,Strategic Counsel,
237,9,,36,2007-02-24,,8,34,HTML,,13,,,Ipsos-Reid,
236,8,,36,2007-02-26,,13,27,HTML,,13,,,Decima Research,
235,10,,40,2007-02-27,,8,26,HTML,,15,,,Angus Reid Strategies,
234,8,,36,2007-03-03,,8,32,HTML,,15,,,Ipsos-Reid,
233,7,,35,2007-03-04,,11,29,HTML,,15,,,Decima Research,
232,10,,38,2007-03-07,,8,28,HTML,,15,,,Angus Reid Strategies,
231,9,,36,2007-03-13,,10,31,HTML,,15,,,Strategic Counsel,
230,9,,36,2007-03-15,,8,34,HTML,,12,,,Ipsos-Reid,
229,8,,39,2007-03-21,,9,31,HTML,,13,,,Strategic Counsel,
228,9,,40,2007-03-22,,7,29,HTML,,14,,,Ipsos-Reid,
227,9,,41,2007-03-25,,6,27,HTML,,14,,,Léger Marketing,
226,8,,35,2007-03-25,,10,31,HTML,,13,,,Decima Research,
225,10,,39,2007-03-28,,11,22,PDF,,17,,,Angus Reid Strategies,
224,8,,36,2007-03-28,,9,31,HTML,,15,,,Ipsos Reid,
223,8,,36,2007-04-03,,12,28,HTML,,16,,,Environics,
221,10,,36,2007-04-05,,6,33,PDF,,16,,,SES Research,
222,8,,39,2007-04-05,,8,30,HTML,,13,,,Decima Research,
220,8,,38,2007-04-12,,8,32,HTML,,14,,,Ipsos Reid,
219,7,,34,2007-04-15,,11,31,HTML,,15,,,Decima Research,
218,9,,39,2007-04-19,,7,29,HTML,,16,,,Ipsos Reid,
217,8,,30,2007-04-21,,11,29,HTML,,18,,,Decima Research,
216,9,,36,2007-04-24,,12,30,PDF,,13,,,Strategic Counsel,
215,8,,38,2007-04-26,,8,31,HTML,,14,,,Ipsos Reid,
214,9,,30,2007-04-29,,13,31,HTML,,15,,,Decima,
213,9,,35,2007-05-03,,7,34,HTML,,14,,,Ipsos Reid,
212,9,,32,2007-05-03,,10,33,HTML,,17,,,SES Research,
211,9,,31,2007-05-10,,9,32,HTML,,17,,,Ipsos Reid,
210,9,,36,2007-05-17,,7,32,HTML,,14,,,Ipsos Reid,
209,10,,34,2007-05-17,,9,31,HTML,,16,,,Strategic Counsel,
208,8,,33,2007-05-20,,10,31,HTML,,17,,,Decima,
207,9,,35,2007-05-23,,9,28,HTML,,18,,,Angus Reid Strategies,
206,7,,37,2007-05-24,,9,31,HTML,,16,,,Ipsos Reid,
205,8,,37,2007-05-27,,9,30,PDF,,14,,,Léger Marketing,
204,10,,34,2007-05-31,,9,31,HTML,,16,,,Ipsos Reid,
203,9,,29,2007-06-11,,9,32,HTML,,18,,,Decima,
202,10,,34,2007-06-18,,8,27,PDF,,19,,,Angus Reid Strategies,
201,7,,37,2007-06-30,,11,28,HTML,,17,,,Environics,
200,10,,31,2007-07-15,,10,31,HTML,,17,,,Strategic Counsel,
199,9,,33,2007-07-18,,8,28,PDF,,19,,,Angus Reid Strategies,
