Date,Unnamed: 0,Bloc QC,Campaign,Conservative,Date,Error,Green,Liberal,Link,Margin,NDP,Other,Sample,Source,Type
2006-02-09,297,9,-,33.0,2006-02-09,-,7,34.0,PDF,-,18.0,-,-,SES Research,-
2006-02-13,296,8,-,35.0,2006-02-13,-,-,25.0,PDF,-,24.0,-,-,Decima Research,-
2006-02-21,295,8,-,39.0,2006-02-21,-,-,28.0,HTML,-,19.0,-,-,Strategic Counsel,-
2006-02-23,294,8,-,39.0,2006-02-23,-,5,27.0,HTML,-,20.0,-,-,Ipsos-Reid,-
2006-02-27,293,10,-,35.0,2006-02-27,-,-,28.0,HTML,-,21.0,-,-,Decima Research,-
2006-03-13,292,10,-,37.0,2006-03-13,-,-,28.0,HTML,-,19.0,-,-,Decima Research,-
2006-03-23,291,9,-,38.0,2006-03-23,-,5,28.0,HTML,-,19.0,-,-,Ipsos-Reid,-
2006-03-26,290,11,-,39.0,2006-03-26,-,-,28.0,HTML,-,19.0,-,-,Decima Research,-
2006-03-31,289,10,-,41.0,2006-03-31,-,5,22.0,HTML,-,21.0,-,-,Environics,-
2006-04-09,288,11,-,39.0,2006-04-09,-,5,29.0,HTML,-,14.0,-,-,Strategic Counsel,-
2006-04-23,287,10,-,41.0,2006-04-23,-,-,26.0,HTML,-,19.0,-,-,Decima Research,-
2006-05-03,286,10,-,35.0,2006-05-03,-,9,31.0,HTML,-,16.0,-,-,Strategic Counsel,-
2006-05-09,285,9,-,38.0,2006-05-09,-,6,28.0,PDF,-,19.0,-,-,SES Research,-
2006-05-18,284,9,-,43.0,2006-05-18,-,5,25.0,HTML,-,15.0,-,-,Ipsos-Reid,-
2006-05-28,283,8,-,38.0,2006-05-28,-,-,29.0,PDF,-,21.0,-,-,Decima Research,-
2006-06-08,282,9,-,36.0,2006-06-08,-,9,27.0,PDF,-,19.0,-,-,Strategic Counsel,-
2006-06-18,281,10,-,38.0,2006-06-18,-,-,28.0,HTML,-,19.0,-,-,Decima Research,-
2006-06-23,280,9,-,39.0,2006-06-23,-,4,25.0,HTML,-,21.0,-,-,Environics,-
2006-07-16,278,10,-,36.0,2006-07-16,-,8,29.0,PDF,-,16.0,-,-,"Decima Research
(with Greens)",-
2006-07-16,277,11,-,36.0,2006-07-16,-,-,30.0,PDF,-,19.0,-,-,"Decima Research
(without Greens)",-
2006-07-16,279,11,-,37.0,2006-07-16,-,8,26.0,HTML,-,18.0,-,-,Strategic Counsel,-
2006-07-23,276,-,-,36.0,2006-07-23,-,-,30.0,HTML[permanent dead link],-,17.0,-,-,Decima Research,-
2006-07-27,275,10,-,39.0,2006-07-27,-,7,27.0,HTML,-,17.0,-,-,Ipsos-Reid,-
2006-07-30,274,11,-,38.0,2006-07-30,-,8,29.0,HTML,-,15.0,-,-,Strategic Counsel,-
2006-07-31,273,11,-,32.0,2006-07-31,-,8,31.0,PDF,-,16.0,-,-,Decima Research,-
2006-08-13,272,10,-,36.0,2006-08-13,-,7,29.0,PDF,-,15.0,-,-,Decima Research,-
2006-08-23,271,11,-,36.0,2006-08-23,-,5,30.0,PDF,-,18.0,-,-,SES Research,-
2006-08-24,270,10,-,38.0,2006-08-24,-,5,29.0,-,-,17.0,-,-,Ipsos-Reid,-
